id,Peso,Longitud_tarso,Longitud_ala,Longitud_pico,Longitud_pluma_interior_de_la_cola,Longitud_pluma_exterior_de_la_cola,target
H3-2017-09-14,79.2,32.4,69.0,16.4,NA,NA,41
E7-2015-10-12,90.0,32.1,113.0,15.6,45.0,49.0,50
F6-2012-09-04,32.0,NA,NA,NA,NA,NA,12
B13-2012-09-18,84.1,NA,NA,NA,NA,NA,27
D4-2014-10-01,76.0,32.3,151.5,16.0,56.0,74.0,67
D1-2016-09-27,82.3,32.8,73.0,14.3,22.0,22.0,44
D5-2014-09-10,42.7,NA,NA,NA,NA,NA,18
F19-2013-09-18,76.2,31.5,113.0,14.3,44.0,54.0,58
D5-2014-09-26,69.5,NA,NA,NA,NA,NA,34
A11-2017-10-07,75.7,33.2,145.0,15.4,55.0,66.0,65
C4-2014-10-01,83.1,33.5,157.0,15.2,54.0,74.0,67
C4-2012-08-18,50.4,23.5,28.0,11.8,NA,NA,20
F9-2014-10-10,62.2,NA,NA,NA,NA,NA,53
F6-2012-10-05,63.5,30.0,73.0,14.0,18.0,23.0,43
F6-2015-09-10,21.3,14.9,15.0,10.8,NA,NA,10
C8-2014-08-24,17.5,NA,NA,NA,NA,NA,6
C7-2016-09-26,95.0,33.4,98.0,15.3,31.0,35.0,55
A3-2012-10-21,80.0,32.0,145.0,14.6,57.0,69.0,64
G13-2014-08-30,47.2,24.9,27.0,13.3,NA,NA,21
B2-2012-10-23,65.4,32.4,181.0,15.1,59.0,88.0,74
E17-2012-09-28,56.5,NA,NA,NA,NA,NA,36
B6-2012-10-11,79.6,NA,NA,NA,NA,NA,48
A3-2014-09-15,41.5,28.4,50.0,13.6,NA,NA,36
H8-2015-11-02,106.3,32.1,82.0,15.6,25.0,30.0,51
A10-2012-08-24,38.0,20.9,23.0,11.5,NA,NA,16
E14-2014-10-20,87.0,NA,NA,NA,NA,NA,55
E17-2012-10-07,64.0,NA,NA,NA,NA,NA,45
C6-2012-09-17,77.2,30.8,64.0,14.2,10.0,10.0,36
E14-2012-10-10,77.8,NA,NA,NA,NA,NA,52
G12-2013-09-24,92.7,32.8,96.0,13.5,29.0,36.0,55
C7-2017-09-30,83.6,34.1,153.0,16.1,56.0,71.0,66
A11-2017-10-18,77.4,32.0,172.0,15.6,59.0,81.0,76
F19-2012-09-19,80.5,34.0,124.0,15.1,41.0,52.0,61
A3-2012-09-28,74.9,NA,NA,NA,NA,NA,41
H4-2017-09-14,77.1,33.8,105.0,15.2,NA,NA,54
F6-2013-10-09,77.5,32.2,119.0,15.2,48.0,55.0,57
FZ-2013-10-24,62.2,33.0,170.0,15.3,62.0,86.0,77
A9-2014-09-07,NA,NA,NA,NA,NA,NA,18
F6-2012-11-08,63.5,NA,NA,NA,NA,NA,77
F17-2015-10-13,88.0,32.9,147.0,15.0,58.0,70.0,65
E14-2015-09-15,72.0,31.6,49.0,13.6,11.0,11.0,33
D11-2013-10-21,50.2,32.4,166.0,15.3,NA,NA,74
D4-2015-09-11,18.6,15.0,16.0,10.8,NA,NA,12
F19-2015-10-07,80.3,33.6,108.0,14.1,38.0,42.0,53
E14-2014-11-09,74.5,34.8,161.5,16.1,55.0,82.0,75
B12-2012-10-15,72.9,30.5,121.0,14.7,46.0,55.0,55
E16-2015-10-18,90.3,32.7,101.0,15.7,35.0,37.0,50
FA-2012-09-22,59.2,25.9,32.0,13.0,NA,NA,26
H3-2017-09-08,69.7,30.6,59.0,15.5,NA,NA,35
D3-2012-10-27,75.8,32.5,176.0,15.2,58.0,82.0,76
A3-2012-09-14,59.5,NA,NA,NA,NA,NA,27
H8-2015-09-28,38.3,18.5,19.0,11.2,NA,NA,16
D3-2014-10-04,78.1,31.7,106.0,14.6,39.0,46.0,55
D13-2014-09-24,65.4,29.6,58.0,13.8,12.0,12.0,37
E14-2014-09-17,50.1,NA,NA,NA,NA,NA,22
D5-2012-11-08,68.7,NA,NA,NA,NA,NA,80
F6-2015-09-06,13.7,13.03,14.0,10.04,NA,NA,6
F6-2016-09-23,80.8,30.9,76.0,14.9,26.0,28.0,43
H4-2014-09-26,77.9,31.9,91.0,15.9,27.0,37.0,47
G6-2014-09-26,59.4,33.3,78.0,14.8,20.0,22.0,45
H9-2013-09-24,59.1,30.3,63.0,14.0,10.0,10.0,38
B13-2014-10-25,99.9,33.2,124.5,16.2,52.0,49.0,58
G11-2015-10-16,78.7,30.7,132.5,14.3,45.0,60.0,57
F17-2015-10-22,70.4,33.1,171.0,14.6,55.0,57.0,74
F6-2012-08-31,20.6,NA,NA,NA,NA,NA,8
F19-2013-09-06,77.3,31.5,75.0,13.8,24.0,30.0,46
B12-2012-09-21,75.6,28.4,50.0,13.7,NA,NA,31
D8-2017-09-23,91.2,35.3,100.0,16.0,NA,NA,50
F6-2012-09-27,72.6,NA,NA,NA,NA,NA,35
A11-2014-09-12,53.4,29.7,52.5,13.8,5.0,5.0,36
A9-2014-11-10,77.3,31.2,162.0,15.1,56.5,74.0,82
C7-2014-09-10,71.9,33.2,101.5,15.4,36.0,38.0,51
A9-2015-09-15,75.8,29.7,60.0,14.4,6.0,6.0,35
E17-2012-10-28,82.0,NA,NA,NA,NA,NA,66
E14-2012-10-29,84.8,NA,NA,NA,NA,NA,71
G11-2017-09-17,66.2,30.1,57.0,15.3,NA,NA,33
D6-2012-09-28,79.6,NA,NA,NA,NA,NA,41
F14-2014-09-11,67.8,34.1,108.0,15.2,34.0,38.0,50
D5-2014-10-08,NA,NA,NA,NA,NA,NA,46
B12-2012-10-14,74.2,30.5,118.0,14.7,43.0,53.0,54
G8-2013-08-31,48.3,23.8,27.0,11.8,NA,NA,20
A2-2014-10-03,75.8,34.0,168.5,15.7,53.5,85.0,81
D13-2012-08-28,34.0,16.8,16.0,10.4,NA,NA,12
G7-2013-09-21,50.9,29.6,61.0,13.6,15.0,15.0,35
B13-2013-09-18,90.0,31.7,57.0,13.6,10.0,10.0,35
G7-2014-10-11,68.5,33.2,161.0,15.3,57.0,81.0,71
D11-2013-09-06,70.0,28.5,38.0,13.5,NA,NA,29
C2-2012-10-18,83.4,33.0,155.0,15.0,53.0,66.0,63
A9-2017-10-13,70.0,NA,NA,NA,NA,NA,50
A7-2012-09-08,67.3,31.9,66.0,13.9,NA,NA,36
B13-2017-09-22,98.2,32.4,61.0,15.0,NA,NA,35
F17-2017-10-21,71.5,32.5,160.0,14.5,48.0,74.0,67
H4-2013-09-16,72.3,29.8,43.0,14.1,NA,NA,31
D5-2016-09-23,72.5,29.4,50.0,13.7,10.0,10.0,33
A7-2012-09-02,59.4,30.0,49.0,12.8,NA,NA,30
D3-2014-09-01,50.8,25.3,29.5,12.6,NA,NA,22
E22-2013-09-09,50.5,21.9,23.0,11.3,NA,NA,18
FZ-2015-10-09,78.3,32.0,170.0,15.8,57.0,76.0,74
E6-2017-10-12,82.2,31.7,99.0,15.6,35.0,42.0,46
A7-2012-08-21,43.8,23.3,24.0,11.4,NA,NA,18
FA-2012-11-02,82.4,NA,NA,NA,NA,NA,67
C2-2014-09-13,51.9,NA,NA,NA,NA,NA,27
H9-2013-10-25,78.4,32.2,148.0,16.1,54.0,71.0,69
F16-2017-09-12,67.5,29.3,44.0,13.6,NA,NA,30
B5-2014-09-22,40.2,NA,NA,NA,NA,NA,36
D6-2014-11-11,61.1,NA,NA,NA,NA,NA,86
E17-2012-09-07,35.4,NA,NA,NA,NA,NA,15
A9-2014-09-08,NA,NA,NA,NA,NA,NA,19
B5-2014-10-12,75.3,NA,NA,NA,NA,NA,56
B6-2012-09-23,79.2,29.5,49.0,13.0,NA,NA,30
D2-2012-10-15,35.7,31.2,74.0,14.7,20.0,22.0,63
E17-2012-10-25,81.6,NA,NA,NA,NA,NA,63
D11-2015-10-21,83.1,33.1,156.0,15.9,55.0,70.5,73
B13-2012-10-24,86.8,NA,NA,NA,NA,NA,63
D4-2014-10-04,82.2,32.6,161.0,16.3,49.0,66.9,70
A3-2012-10-12,69.5,31.9,116.0,14.6,45.0,48.0,55
B13-2012-11-02,85.4,NA,NA,NA,NA,NA,72
F11-2017-09-30,83.5,33.2,109.0,15.0,42.0,49.0,50
D6-2012-11-01,72.7,NA,NA,NA,NA,NA,75
G9-2013-10-18,47.7,31.3,120.0,15.2,46.0,56.0,64
E16-2012-08-31,35.1,18.5,21.0,11.4,NA,NA,13
D3-2015-11-03,69.2,33.8,165.0,16.1,59.0,75.0,71
B13-2012-10-22,99.2,33.3,141.0,15.5,55.0,73.0,61
G11-2015-10-07,69.3,30.4,96.0,14.8,36.0,40.0,48
F6-2012-08-24,7.9,12.5,13.0,7.8,NA,NA,1
D5-2012-09-29,81.4,29.7,53.0,14.0,10.0,10.0,40
FZ-2012-10-07,78.0,33.0,107.0,15.3,36.0,40.0,52
B12-2016-10-29,96.9,30.5,173.0,13.9,57.0,80.0,67
C11-2014-08-26,50.3,22.6,23.0,11.6,NA,NA,15
A4-2015-09-21,60.1,32.2,71.5,15.0,26.0,24.0,45
D5-2014-09-14,55.6,NA,NA,NA,NA,NA,22
A11-2012-08-18,12.7,15.6,16.0,10.4,NA,NA,10
A3-2012-10-25,74.1,NA,NA,NA,NA,NA,68
F16-2017-10-18,76.8,32.0,155.0,15.0,58.0,74.0,66
F14-2014-09-02,70.3,33.2,80.5,15.4,28.5,25.0,41
D6-2012-09-09,55.4,25.5,31.0,12.3,NA,NA,22
F16-2013-09-27,65.6,31.5,100.0,15.3,46.0,49.0,55
H9-2014-10-06,NA,NA,NA,NA,NA,NA,47
A3-2014-08-22,37.4,18.1,16.0,10.7,NA,NA,12
B6-2012-09-24,NA,29.2,53.0,13.5,5.0,5.0,31
G2-2016-09-23,83.2,31.0,94.0,14.2,31.0,29.0,48
B6-2012-10-19,88.0,NA,NA,NA,NA,NA,56
G6-2014-09-20,60.0,31.9,59.5,13.7,9.0,9.0,39
A9-2017-09-11,44.1,NA,NA,NA,NA,NA,18
A2-2014-09-15,57.4,33.9,119.5,16.0,45.5,55.0,63
G7-2013-09-27,49.4,30.7,72.0,14.3,20.0,23.0,41
D5-2012-11-04,80.6,32.2,167.0,15.0,60.0,88.0,76
D13-2014-09-27,54.9,30.0,62.5,13.9,14.0,14.0,40
A3-2012-08-28,29.2,16.1,15.0,10.2,NA,NA,10
F19-2015-10-05,72.8,33.7,100.0,15.1,35.0,38.0,51
F16-2014-10-05,82.6,33.1,166.0,15.3,55.0,79.0,77
E14-2015-10-15,83.9,34.6,133.0,15.5,52.0,62.0,63
F6-2012-10-09,71.5,NA,NA,NA,NA,NA,47
A10-2012-10-23,84.6,32.2,160.0,15.1,59.0,77.0,76
A9-2017-08-25,10.2,13.6,NA,8.3,NA,NA,1
D6-2014-09-02,40.6,21.0,20.5,11.9,NA,NA,16
C7-2012-10-08,98.6,32.1,135.0,15.6,47.0,53.0,62
E22-2013-11-14,92.2,33.5,164.0,14.6,57.0,84.0,84
H8-2014-09-20,72.9,31.2,53.5,14.7,5.5,5.5,39
A10-2012-10-20,76.9,32.2,154.0,15.1,57.0,72.0,73
D13-2014-11-11,65.0,31.5,165.5,15.2,53.0,76.5,86
B12-2012-09-03,37.1,17.7,19.0,10.7,NA,NA,13
F17-2017-10-12,76.5,32.3,130.0,14.3,55.0,60.0,58
D5-2012-10-30,95.2,NA,NA,NA,NA,NA,71
FZ-2012-10-10,80.2,33.0,114.0,15.6,41.0,45.0,55
E16-2013-10-24,53.7,31.5,114.0,14.4,44.0,59.0,69
C7-2016-10-23,65.6,33.6,178.0,15.5,59.0,82.0,82
E22-2013-10-30,59.1,33.5,117.0,14.9,47.0,56.0,69
G9-2017-08-29,40.5,19.7,24.0,12.5,NA,NA,15
F9-2014-08-28,NA,NA,NA,NA,NA,NA,10
A10-2012-08-27,29.9,22.4,24.0,11.5,NA,NA,19
A11-2012-10-02,88.9,32.6,101.0,15.0,30.0,34.0,55
B2-2012-09-29,83.9,32.4,109.0,15.0,38.0,46.0,50
C4-2012-08-30,73.6,30.2,53.0,13.2,NA,NA,32
D13-2012-08-25,22.8,15.5,14.0,9.5,NA,NA,9
B13-2012-11-03,83.2,33.3,176.0,15.5,60.0,93.0,73
D13-2012-09-21,77.7,30.4,66.0,14.1,10.0,10.0,36
G7-2013-10-12,52.9,31.0,87.0,14.5,35.0,40.0,56
B13-2014-11-12,71.1,33.0,175.5,15.9,60.5,87.5,76
D2-2012-10-30,52.3,31.6,107.0,15.0,36.0,41.0,78
D3-2014-09-22,52.0,31.0,71.0,14.5,23.0,26.0,43
B13-2012-10-06,97.7,NA,NA,NA,NA,NA,45
E14-2015-10-03,90.0,34.8,89.5,15.0,34.0,36.0,51
F6-2012-10-03,56.0,NA,NA,NA,NA,NA,41
E11-2012-09-12,74.4,30.5,60.0,14.5,7.0,7.0,32
A2-2014-09-18,78.0,33.7,122.0,15.6,50.0,59.0,66
B5-2014-09-13,48.2,NA,NA,NA,NA,NA,27
E16-2012-09-20,70.1,NA,NA,NA,NA,NA,33
E16-2015-10-12,98.1,32.6,81.0,15.5,25.0,27.0,44
F6-2012-09-21,66.7,NA,NA,NA,NA,NA,29
F12-2014-09-14,41.1,26.0,32.0,13.1,NA,NA,30
C2-2012-09-16,67.1,30.5,61.0,13.4,NA,NA,31
B13-2013-10-27,72.4,33.3,172.0,15.0,NA,NA,74
E2-2016-11-02,75.0,29.1,98.0,15.3,30.0,39.0,45
C2-2014-10-07,NA,NA,NA,NA,NA,NA,51
D6-2012-09-07,52.7,NA,NA,NA,NA,NA,20
H8-2014-09-23,83.2,31.4,63.5,15.1,10.0,10.0,42
E11-2012-10-09,88.0,32.0,142.0,15.8,49.0,59.0,59
B9-2015-09-26,45.8,25.3,31.0,12.6,NA,NA,22
G8-2013-09-06,47.3,26.3,34.0,12.5,NA,NA,26
D6-2015-09-08,55.7,25.79,30.0,12.41,NA,NA,22
G12-2017-09-30,86.9,33.5,147.0,14.7,59.0,47.0,64
G2-2013-10-06,92.0,32.7,113.0,14.2,41.0,45.0,53
C5-2017-10-09,79.8,31.7,155.0,15.6,57.0,75.0,63
D13-2014-09-11,37.3,NA,NA,NA,NA,NA,24
E16-2012-09-07,53.5,NA,NA,NA,NA,NA,20
F12-2014-09-23,37.4,29.1,45.5,13.7,NA,NA,39
C4-2013-09-06,60.2,32.2,69.0,13.8,17.0,21.0,41
C8-2014-09-16,51.0,NA,NA,NA,NA,NA,29
H9-2013-10-04,77.3,32.2,82.0,15.0,20.0,25.0,48
G7-2013-09-30,42.8,30.6,75.0,14.5,23.0,25.0,44
F10-2015-10-13,90.0,32.8,138.0,15.2,56.0,68.0,64
F17-2014-08-27,44.1,15.6,27.0,12.1,NA,NA,19
D5-2014-10-09,79.6,NA,NA,NA,NA,NA,47
E6-2017-10-15,70.5,32.0,109.0,16.9,39.0,47.0,49
FZ-2012-09-13,62.4,29.0,41.0,13.7,NA,NA,28
B1-2016-09-26,75.3,31.6,107.0,14.9,38.0,44.0,51
E17-2012-09-12,39.6,NA,NA,NA,NA,NA,20
G6-2014-09-14,59.2,30.4,45.0,13.1,NA,NA,33
C11-2014-08-20,33.9,17.8,19.0,10.6,NA,NA,9
B2-2012-09-08,64.9,29.9,51.0,13.5,NA,NA,29
C1-2017-10-26,82.7,31.9,156.0,14.9,61.0,77.0,68
E14-2015-09-06,47.2,27.07,32.0,13.12,NA,NA,24
F9-2014-08-22,16.5,NA,NA,NA,NA,NA,4
D9-2012-10-03,88.2,33.5,165.0,17.1,59.0,78.0,67
B9-2015-09-23,49.0,23.6,29.0,12.2,NA,NA,19
C9-2012-09-05,82.6,29.5,55.0,13.6,NA,NA,31
F6-2017-09-09,55.3,24.0,22.0,12.6,NA,NA,22
D3-2012-10-24,83.1,32.5,168.0,15.2,58.0,82.0,73
A11-2012-10-05,74.1,32.8,102.0,15.2,33.0,35.0,58
A4-2016-10-23,65.3,32.3,177.0,15.1,62.0,89.0,78
D6-2012-10-10,91.7,NA,NA,NA,NA,NA,53
E14-2012-09-19,71.4,29.1,51.0,14.2,NA,NA,31
F6-2012-10-19,90.9,NA,NA,NA,NA,NA,57
F17-2015-10-01,59.5,32.7,103.0,14.7,43.0,45.0,53
H9-2014-10-13,69.1,NA,NA,NA,NA,NA,54
D1-2015-09-23,70.6,29.5,45.0,13.7,NA,NA,30
F12-2014-09-21,41.0,28.0,47.0,13.0,15.0,15.0,37
C6-2017-09-22,79.3,32.6,61.0,16.3,NA,NA,36
C4-2012-09-17,75.6,33.1,106.0,14.9,34.0,43.0,50
E14-2014-09-26,74.5,NA,NA,NA,NA,NA,31
C7-2013-09-09,94.3,32.2,64.0,14.8,16.0,16.0,40
A3-2012-10-14,77.8,NA,NA,NA,NA,NA,57
F6-2012-10-02,59.2,NA,NA,NA,NA,NA,40
D13-2012-09-09,62.2,25.0,32.0,12.4,NA,NA,24
A9-2017-10-16,NA,NA,NA,NA,NA,NA,53
G12-2013-10-15,72.1,32.8,164.0,14.7,56.0,79.0,76
D3-2014-08-21,40.5,18.6,19.0,15.0,NA,NA,11
H4-2017-09-17,79.3,33.0,113.0,16.8,42.0,49.0,57
A7-2017-09-24,76.6,33.3,92.0,15.8,NA,NA,45
D10-2015-10-05,62.3,28.3,43.0,13.9,NA,NA,30
D6-2012-10-09,87.1,33.0,105.0,15.2,34.0,41.0,52
E17-2012-09-14,45.5,22.7,25.0,12.5,NA,NA,22
E16-2017-09-14,33.8,18.0,21.0,10.4,NA,NA,10
F10-2015-09-25,71.5,32.5,80.0,15.4,27.0,25.0,46
H5-2017-09-26,64.1,33.0,89.0,15.6,45.0,52.0,49
FD-2015-09-06,10.4,12.2,16.0,8.62,NA,NA,4
FC-2012-09-18,82.0,32.5,73.0,14.9,12.0,14.0,36
E17-2012-09-18,50.2,NA,NA,NA,NA,NA,26
G13-2013-09-12,44.3,28.5,47.0,13.2,NA,NA,32
A9-2016-11-04,65.7,31.7,173.0,14.0,71.0,80.0,75
D8-2017-09-17,82.2,34.7,75.0,15.6,NA,NA,44
E14-2012-09-15,68.6,NA,NA,NA,NA,NA,27
D5-2014-09-11,46.8,NA,NA,NA,NA,NA,19
H2-2013-10-28,40.3,28.5,108.0,13.5,48.0,54.0,66
A6-2014-09-09,45.7,27.1,38.0,13.0,NA,NA,29
C3-2012-10-02,77.7,31.5,146.0,16.1,52.0,61.0,64
E16-2012-09-21,75.3,29.0,59.0,14.6,8.0,8.0,34
H5-2017-09-30,77.3,32.2,102.0,15.7,39.0,54.0,53
FZ-2016-09-26,86.7,31.6,99.0,14.7,40.0,43.0,49
G9-2017-09-17,72.3,29.0,55.0,14.4,NA,NA,34
D3-2016-10-24,73.3,31.6,81.0,15.0,33.0,35.0,40
H4-2013-09-25,51.4,31.3,66.0,14.7,18.0,18.0,40
A11-2017-08-31,52.6,27.5,35.0,12.8,NA,NA,28
D3-2015-10-17,75.1,33.8,103.5,15.5,40.0,36.0,54
F16-2014-09-17,59.8,33.2,112.0,14.8,40.0,59.0,59
E14-2012-09-05,45.2,NA,NA,NA,NA,NA,17
B13-2017-10-24,85.2,32.3,171.0,15.3,61.0,87.0,67
E14-2014-11-02,104.8,NA,NA,NA,NA,NA,68
B5-2014-09-23,37.3,29.5,46.0,12.8,8.0,8.0,37
F12-2014-08-30,32.3,19.0,19.0,10.8,NA,NA,15
FZ-2014-08-18,47.6,20.1,18.0,11.7,NA,NA,12
B12-2012-09-16,60.2,NA,NA,NA,NA,NA,26
D5-2016-09-27,72.6,30.7,62.0,13.3,19.0,19.0,37
C8-2014-09-29,63.3,NA,NA,NA,NA,NA,42
E14-2012-10-01,76.5,31.5,80.0,15.9,25.0,25.0,43
A7-2012-08-30,56.5,29.1,38.0,12.4,NA,NA,27
A7-2016-09-23,58.7,29.3,40.0,12.7,NA,NA,31
G7-2013-11-11,41.3,30.9,135.5,14.4,55.0,68.0,86
H3-2017-09-26,82.8,32.2,114.0,16.2,45.0,49.0,53
D5-2015-10-01,72.9,31.7,123.0,14.8,47.0,51.0,55
H5-2017-09-08,53.8,28.9,45.0,13.9,NA,NA,31
F11-2017-10-15,77.7,32.4,160.0,15.9,59.0,80.0,65
C2-2014-09-28,70.0,NA,NA,NA,NA,NA,42
D13-2014-09-22,56.1,NA,NA,NA,NA,NA,35
G7-2014-09-02,67.4,36.9,52.0,14.0,8.0,NA,32
D5-2012-09-19,62.5,NA,NA,NA,NA,NA,30
D3-2014-09-19,60.5,30.8,68.0,14.7,20.0,21.5,40
H4-2013-10-09,83.0,31.6,107.0,15.3,42.0,48.0,54
F6-2016-09-26,66.2,31.8,84.0,14.5,30.0,35.0,46
A9-2017-09-08,39.4,NA,NA,NA,NA,NA,15
D13-2014-09-08,NA,NA,NA,NA,NA,NA,21
B6-2012-10-29,88.4,NA,NA,NA,NA,NA,66
FA-2012-10-31,74.9,33.0,132.0,15.5,49.0,59.0,65
D13-2014-10-10,59.7,NA,NA,NA,NA,NA,53
B13-2014-09-04,25.3,15.9,14.0,10.4,NA,NA,7
D13-2013-09-27,29.9,27.6,10.0,52.0,10.0,12.6,40
C1-2014-09-10,37.7,26.2,32.5,13.1,NA,NA,28
F14-2014-09-17,80.6,33.4,133.0,14.5,50.0,60.0,56
E11-2012-09-21,72.2,31.7,83.0,15.3,22.0,25.0,41
B12-2012-08-26,18.4,NA,NA,NA,NA,NA,5
G7-2014-09-11,57.3,32.1,68.5,14.7,26.0,27.0,41
G11-2015-09-19,68.2,29.0,50.0,13.4,8.0,8.0,30
B5-2014-08-22,17.9,14.4,13.0,9.5,NA,NA,5
FA-2012-09-16,47.9,22.0,24.0,11.8,NA,NA,20
E17-2012-09-19,46.1,NA,NA,NA,NA,NA,27
H7-2013-09-19,54.2,26.1,32.0,12.1,NA,NA,25
G2-2015-10-05,62.3,30.8,100.0,15.0,35.0,34.0,52
B12-2015-09-12,67.3,31.2,61.5,14.4,17.0,20.0,36
B5-2014-08-26,30.1,NA,NA,NA,NA,NA,9
C1-2014-08-17,17.7,13.2,14.0,9.6,NA,NA,4
E14-2012-09-08,55.9,NA,NA,NA,NA,NA,20
C6-2017-09-06,65.2,24.3,30.0,12.7,NA,NA,20
A3-2012-09-30,64.5,31.8,76.0,14.2,23.0,25.0,43
G2-2015-10-22,63.5,31.1,157.0,15.6,57.0,73.0,69
C2-2014-10-11,70.1,30.6,103.5,15.2,40.0,46.0,55
FC-2012-10-09,88.9,32.5,135.0,15.7,48.0,58.0,57
C11-2015-11-13,51.8,31.0,82.0,14.6,25.0,27.0,67
B13-2012-08-24,NA,NA,NA,NA,NA,NA,2
B13-2012-10-12,98.3,NA,NA,NA,NA,NA,51
FD-2015-09-24,56.3,24.7,30.0,12.1,NA,NA,22
E14-2014-08-27,9.3,13.0,12.0,9.4,NA,NA,1
C6-2012-09-08,65.6,27.4,39.0,12.7,NA,NA,27
F10-2017-10-09,74.5,31.0,65.0,14.8,NA,NA,39
G13-2013-09-06,49.8,26.7,33.0,13.1,NA,NA,26
H9-2013-09-01,41.2,20.2,22.0,11.8,NA,NA,15
F16-2017-08-28,42.7,22.0,23.0,11.2,NA,NA,15
A2-2014-09-30,81.0,34.4,166.0,15.6,55.0,80.0,78
D6-2014-10-04,101.9,NA,NA,NA,NA,NA,48
F19-2012-09-04,80.8,33.5,76.0,14.9,NA,NA,46
B12-2012-11-05,68.7,30.5,176.0,15.0,58.0,88.0,76
G7-2015-09-22,83.7,31.8,64.5,14.2,17.0,12.0,39
F19-2014-09-23,86.6,31.9,117.0,14.5,47.0,54.0,55
E16-2014-09-10,35.8,28.6,39.0,13.7,NA,NA,35
F10-2014-11-07,62.9,31.6,167.0,16.1,56.0,79.0,86
E7-2015-10-21,100.5,32.6,146.0,15.8,59.0,71.0,59
A9-2014-10-28,76.0,NA,NA,NA,NA,NA,69
E16-2012-10-05,75.0,NA,NA,NA,NA,NA,48
G8-2015-09-16,59.5,30.9,59.5,13.9,15.0,11.0,35
D4-2017-09-14,74.3,30.5,60.0,14.1,NA,NA,34
D6-2012-09-25,82.4,NA,NA,NA,NA,NA,38
G2-2013-09-27,62.8,31.3,82.0,14.7,28.0,28.0,44
FD-2012-09-03,62.1,30.5,46.0,12.7,NA,NA,30
D6-2014-11-02,72.3,NA,NA,NA,NA,NA,77
G8-2015-10-10,94.8,32.1,136.0,15.1,51.0,64.0,59
E16-2015-09-06,26.8,15.45,17.0,11.31,NA,NA,8
A7-2017-09-30,82.1,33.0,105.0,14.7,43.0,50.0,51
B5-2016-09-26,84.7,33.1,96.0,14.9,35.0,40.0,51
E6-2017-10-24,78.2,31.2,144.0,15.8,52.0,66.0,58
B5-2014-09-26,52.7,29.8,50.5,13.4,10.0,10.0,40
B13-2014-10-05,84.3,NA,NA,NA,NA,NA,38
G8-2015-09-07,61.1,26.89,34.5,12.83,NA,NA,26
C4-2014-09-10,58.1,33.0,88.0,15.0,25.0,29.0,46
C1-2014-08-29,29.8,20.8,20.0,11.3,NA,NA,16
D13-2014-10-14,65.6,NA,NA,NA,NA,NA,57
D5-2014-10-04,82.8,32.1,69.0,14.6,22.0,22.5,42
FA-2012-10-28,78.7,33.0,120.0,15.5,42.0,52.0,62
E6-2017-09-08,25.2,18.4,15.0,11.2,NA,NA,12
A10-2012-09-23,89.9,31.7,73.0,14.5,15.0,17.0,46
B12-2013-08-31,49.0,22.7,27.0,11.9,NA,NA,19
E22-2013-11-02,57.8,33.5,125.0,14.8,52.0,65.0,72
F14-2015-09-16,74.5,33.1,103.0,15.3,38.0,41.5,54
E16-2015-10-31,93.7,33.2,151.0,16.2,55.5,66.0,63
F6-2012-09-02,23.4,14.5,14.0,9.6,NA,NA,10
E14-2012-09-22,73.3,29.5,59.0,14.8,8.0,8.0,34
C5-2017-10-06,75.7,30.4,144.0,15.1,55.0,70.0,60
H2-2013-10-06,54.1,27.5,60.0,13.1,15.0,17.0,44
D5-2012-10-27,100.7,NA,NA,NA,NA,NA,68
H9-2014-09-07,NA,NA,NA,NA,NA,NA,18
H5-2015-09-19,79.4,31.8,72.0,14.6,22.0,23.0,43
B12-2014-10-09,72.9,32.0,166.0,16.2,57.0,82.0,66
A9-2014-09-17,45.0,24.0,25.0,12.4,NA,NA,28
H8-2015-10-07,67.1,24.5,28.0,12.6,NA,NA,25
G8-2017-09-26,72.5,32.4,105.0,14.7,38.0,45.0,48
D5-2014-10-17,57.8,NA,NA,NA,NA,NA,55
E16-2017-09-17,39.3,18.5,22.0,11.7,NA,NA,13
D11-2014-08-17,32.4,17.1,16.0,10.7,NA,NA,9
D13-2012-10-06,77.4,31.2,102.0,14.7,34.0,38.0,51
E16-2015-11-11,76.4,32.8,174.0,16.4,59.0,82.0,74
C8-2016-11-04,81.7,32.7,147.0,16.0,55.0,67.0,64
F6-2013-09-06,64.3,26.5,33.0,12.9,NA,NA,24
B13-2012-10-01,92.0,32.7,72.0,14.6,21.0,22.0,40
C8-2016-09-26,57.5,26.8,32.0,13.3,NA,NA,25
A10-2012-10-14,91.8,32.0,137.0,15.0,51.0,60.0,67
D5-2014-09-12,50.0,NA,NA,NA,NA,NA,20
D9-2015-10-08,84.7,33.4,129.0,15.4,41.0,50.0,63
E17-2012-09-25,52.5,NA,NA,NA,NA,NA,33
G8-2017-09-14,73.1,31.2,64.0,14.3,NA,NA,36
B9-2014-09-27,61.6,31.2,74.0,14.8,21.0,22.0,47
G7-2013-09-06,56.6,24.9,30.0,12.6,NA,NA,20
E17-2012-10-09,71.2,NA,NA,NA,NA,NA,47
D6-2015-10-02,70.3,34.1,73.0,15.5,20.0,21.0,46
C7-2012-09-20,81.2,32.1,77.0,15.1,20.0,22.0,44
C8-2014-08-26,22.9,NA,NA,NA,NA,NA,8
A11-2014-08-29,49.0,25.0,30.0,12.4,NA,NA,22
A3-2012-10-17,NA,NA,NA,NA,NA,NA,60
